,title,beds,bath,adress,price,area
160,"950 Square Feet Apartment With Great Residential Properties Is For Rent In Mirpur, West Shewrapara",3.0,2.0,"westshewrapara,mirpur,dhaka",20000.0,950
161,"Properly Constructed Flat For Rent In Uttara-10, Near First Security Islami Bank Limited",4.0,4.0,"uttara,dhaka",36000.0,2230
162,2280 Sq Ft Ready Flat Is Available For Rent In Bashundhara R/a,4.0,4.0,"bashundharar-a,dhaka",70000.0,2280
163,"Nice 2197 Sq Ft Home Is Available To Rent In Uttara, Sector 7",3.0,4.0,"roadno,uttara,dhaka",60000.0,2197
164,1600 Square Feet Apartment For Rent At Mirpur-2 Nearby Orchid International School,3.0,3.0,"section,mirpur,dhaka",32000.0,1600
165,1300 Sq Ft Flat For Rent In West Khulshi Near Masjid E Belal,3.0,3.0,"jalalabadhousingsociety,westkhulshi,no.northpahartaliward,chattogram",18000.0,1300
166,Comfortability All Around In This 2000 Sq. Ft Flat Which Is Up For Rent At VIP Housing Society-Khulshi .,3.0,3.0,"viphousingsociety,southkhulshi,khulshi,chattogram",35000.0,2000
167,Contact Us To Rent This 1393 Sq Ft Flat Which Is Now Available In Ahmed Nagar,3.0,3.0,"eastahmednagar,ahmednagar,mirpur,dhaka",18000.0,1393
168,Get Comfortable In A 1550 Sq Ft Flat For Rent In Uttara Nearby Bangladesh Club Limited.,3.0,3.0,"uttara,dhaka",35000.0,1550
169,"Spot Your Place In A 1200 Sq Ft Structurally Well Built Apartment For Rent In Bashundhara R-A, Block M",3.0,3.0,"bashundharar-a,dhaka",17000.0,1200
170,Plan To Live In This 750 Sq Ft Flat Ready To Rent In Mirpur-13,2.0,2.0,"section,mirpur,dhaka",16000.0,750
171,1260 Sq Ft Flat Is Available For Rent In Mirpur-10,3.0,4.0,"section,mirpur,dhaka",25000.0,1260
172,"Apartment For Rent In Shiddheswari, Near Monowara Hospital",4.0,3.0,"shiddheswari,dhaka",90000.0,3200
173,"2 Bedroom FLat Is Up For Rent In Section 12, Mirpur",2.0,2.0,"section,mirpur,dhaka",13500.0,650
174,400 Sq Ft Full Furnished Apartment For Rent In Uttara-7,1.0,1.0,"uttara,dhaka",25000.0,400
175,1600 Sq Ft Apartment Is Ready For Rent In Uttara,3.0,3.0,"uttara,dhaka",25000.0,1600
176,You can take rent this lovely apartment of 900 sq ft to live a relaxed life at Boro Maghbazar,2.0,2.0,"boromaghbazar,maghbazar,dhaka",25000.0,900
177,Lovely 2000 Sq Ft Home Is Available To Rent In Banani,3.0,3.0,"banani,dhaka",35000.0,2000
178,Contact Us To Get 800 Sq Ft Home Which Is Now Available In East Kazipara For Rent,2.0,2.0,"mirpur,dhaka",14000.0,800
179,650 Sq Ft Flat With 2 Decent Bedrooms For Rent In Mirpur-13,2.0,2.0,"section,mirpur,dhaka",12000.0,650
180,An Apartment For Rent In Malibagh Shantibag,3.0,3.0,"shantibag,malibagh,dhaka",25000.0,1075
181,"9000 Sq Ft Full Building For Rent In Bashundhara Residential Area, Block H",17.0,10.0,"bashundharar-a,dhaka",350000.0,9000
182,"1150 Sq Ft Flat With 3 Modest Bedrooms Up For Rent In East Kazipara, Mirpur",3.0,3.0,"mirpur,dhaka",20000.0,1150
183,1450 Square Feet Apartment Is Ready For Rent In Uttara-11,3.0,3.0,"uttara,dhaka",27000.0,1450
184,"Smartly Priced 2300 Sq Ft Apartment, That You Should Check In Talertek, Khilkhet",5.0,5.0,"talertek,khilkhet,dhaka",35000.0,2300
185,"In The Peaceful Neighborhood Of South Khulsi, A Ready Vacant Flat Of 2250 Sq Ft Is Up For Rent Close To Holy Crescent Hospital",3.0,4.0,"southkhulshi,khulshi,chattogram",50000.0,2250
